"1100","IPAG","AVAILABLE",NULL
"1101","IPAG","AVAILABLE",NULL
"1102","IPAG","AVAILABLE",NULL
"1103","IPAG","AVAILABLE",NULL
"1104","IPAG","AVAILABLE",NULL
"1105","IPAG","AVAILABLE",NULL
"1106","IPAG","AVAILABLE",NULL
"1107","IPAG","AVAILABLE",NULL
"1108","IPAG","AVAILABLE",NULL
"1109","IPAG","AVAILABLE",NULL
"1110","IPAG","AVAILABLE",NULL
"1200","VPE","AVAILABLE",NULL
"1201","VPE","AVAILABLE",NULL
"1202","VPE","AVAILABLE",NULL
"1203","VPE","AVAILABLE",NULL
"1204","VPE","AVAILABLE",NULL
"1205","VPE","AVAILABLE",NULL
"1206","VPE","AVAILABLE",NULL
"1207","VPE","AVAILABLE",NULL
"1208","VPE","AVAILABLE",NULL
"1209","VPE","AVAILABLE",NULL
"1210","VPE","AVAILABLE",NULL
